Index,Name,Rarity,Status
1,Wheat,Common,Obtained
2,Corn,Common,Not
3,Soybean,Common,Obtained
4,GreenBean,Common,Obtained
5,Cauliflower,Common,Obtained
6,Lentils,Common,Not
7,Cassava,Common,Obtained
8,SweetPotato,Common,Obtained
9,GreenOnion,Common,Not
10,MustardGreens,Common,Obtained
11,Carrot,Common,Obtained
12,Tomato,Common,Obtained
13,Spinach,Common,Obtained
14,Broccoli,Common,Not
15,Cabbage,Common,Not
16,GreenBean,Common,Not
17,Lettuce,Common,Obtained
18,Eggplant,Uncommon,Not
19,Chili,Uncommon,Obtained
20,Radish,Uncommon,Obtained
21,LongBean,Uncommon,Obtained
22,Melon,Uncommon,Obtained
23,Jackfruit,Uncommon,Obtained
24,Soursop,Uncommon,Not
25,Salak,Uncommon,Obtained
26,DateFruit,Uncommon,Obtained
27,Pomegranate,Uncommon,Obtained
28,Raisins,Uncommon,Obtained
29,PassionFruit,Uncommon,Obtained
30,Strawberry,Rare,Obtained
31,Kiwi,Rare,Obtained
32,Cherry,Rare,Not
33,Watermelon,Rare,Obtained
34,Asparagus,Rare,Obtained
35,Zucchini,Rare,Obtained
36,Shallot,Rare,Obtained
37,Garlic,Rare,Obtained
38,Banana,Rare,Obtained
39,Mango,Rare,Obtained
40,Orange,Rare,Obtained
41,Apple,Epic,Obtained
42,Pineapple,Epic,Obtained
43,Durian,Epic,Obtained
44,Guava,Epic,Obtained
45,Papaya,Epic,Obtained
46,Starfruit,Epic,Obtained
47,Rambutan,Legendary,Obtained
48,Grape,Legendary,Obtained
