Index,Name,Rarity,Status
1,Wheat,Common,Not
2,Corn,Common,Not
3,Soybean,Common,Not
4,GreenBean,Common,Not
5,Cauliflower,Common,Not
6,Lentils,Common,Not
7,Cassava,Common,Not
8,SweetPotato,Common,Obtained
9,GreenOnion,Common,Not
10,MustardGreens,Common,Not
11,Carrot,Common,Not
12,Tomato,Common,Not
13,Spinach,Common,Not
14,Broccoli,Common,Not
15,Cabbage,Common,Not
16,GreenBean,Common,Not
17,Lettuce,Common,Not
18,Eggplant,Uncommon,Not
19,Chili,Uncommon,Not
20,Radish,Uncommon,Not
21,LongBean,Uncommon,Not
22,Melon,Uncommon,Not
23,Jackfruit,Uncommon,Not
24,Soursop,Uncommon,Obtained
25,Salak,Uncommon,Not
26,DateFruit,Uncommon,Not
27,Pomegranate,Uncommon,Not
28,Raisins,Uncommon,Not
29,PassionFruit,Uncommon,Not
30,Strawberry,Rare,Obtained
31,Kiwi,Rare,Not
32,Cherry,Rare,Obtained
33,Watermelon,Rare,Not
34,Asparagus,Rare,Not
35,Zucchini,Rare,Obtained
36,Shallot,Rare,Not
37,Garlic,Rare,Not
38,Banana,Rare,Obtained
39,Mango,Rare,Obtained
40,Orange,Rare,Not
41,Apple,Epic,Not
42,Pineapple,Epic,Not
43,Durian,Epic,Not
44,Guava,Epic,Not
45,Papaya,Epic,Not
46,Starfruit,Epic,Obtained
47,Rambutan,Legendary,Not
48,Grape,Legendary,Not
